id,text,label
"1168552582169735168","b'#Profit calculator - an easy way to find out your gross and net profit https://t.co/z3pI6vU6Ds'","profit"
"1168552412229120000","b""''The four most dangerous words in investing are: This time it's different.''\n- Sir John Templeton\n\n#Forex #FX\xe2\x80\xa6 https://t.co/K4XaMsWwso""","profit"
"1168552107982692353","b'Chil Chil wins the 16:25 at Windsor with odds of 4/11 for our System 1.  \nFancy being a part of this, come and join\xe2\x80\xa6 https://t.co/lQ4wH4hj0r'","profit"
"1168546796546793474","b'5 winners in a row now!! #tips #profit'","profit"
"1168542536664850433","b'Boom 4th winner in a row #tipster #betting #profit https://t.co/eBB0MsuoGM'","profit"
"1168542461985251328","b'RT @paul__tully: Interactions with predators are not responsible. So why do they happen? And why do facilities place people at such risk?\xe2\x80\xa6'","profit"
"1168542106606100481","b'It would appear there is a very fine line between making a small #profit and going #bankrupt when setting up and running a #festival!'","profit"
"1168541782474481664","b'Total Tipsters offer Free and Paid Horse Racing Tips\n\nCome and take a look\n\nhttps://t.co/6qO8hS2nf8\n\nT&amp;C\xe2\x80\x99s Apply. 1\xe2\x80\xa6 https://t.co/LZWDfPtG2O'","profit"
"1168540939511615488","b'Total Tipsters offer Free and Paid Horse Racing Tips\n\nCome and take a look\n\nhttps://t.co/q0CA39i4nG\n\nT&amp;C\xe2\x80\x99s Apply. 1\xe2\x80\xa6 https://t.co/atFERqtUAB'","profit"
"1168540782409781254","b'Total Tipsters offer Free and Paid Horse Racing Tips\n\nCome and take a look\n\nhttps://t.co/6M4lpdxzYQ\n\nT&amp;C\xe2\x80\x99s Apply. 1\xe2\x80\xa6 https://t.co/3ry2s5hbKc'","profit"
"1168540605426745344","b'RT @murliota: Why 90% of new #traders do not make #profit?\nThey #trade with probabilities against them.\n#Nifty\n#trading\n#OptionsTrading\n#Op\xe2\x80\xa6'","profit"
"1168540359393251330","b'Do you enjoy a bit of a flutter on the races or football.\n\nWe give out free football and horse racing tips every da\xe2\x80\xa6 https://t.co/mD4oRImi3c'","profit"
"1168540342074916864","b'#Yaari is still a good strategy with #BTCUSD , #profit : 7415 pips, 368 trades.,MaxDD :-91691, #trade , live result\xe2\x80\xa6 https://t.co/yPYsqQTBU3'","profit"
"1168540296398946308","b'Do you enjoy a bit of a flutter on the races or football.\n\nWe give out free football and horse racing tips every da\xe2\x80\xa6 https://t.co/0aXleJg2mW'","profit"
"1168540188756336647","b'Do you enjoy a bit of a flutter on the races or football.\n\nWe give out free football and horse racing tips every da\xe2\x80\xa6 https://t.co/B4yd6vTzyX'","profit"
"1168540107034497024","b'Do you enjoy a bit of a flutter on the races or football.\n\nWe give out free football and horse racing tips every da\xe2\x80\xa6 https://t.co/lZvnFcZ4RN'","profit"
"1168539884254093312","b'\xe2\xac\x86\xef\xb8\x8f Buy GBP/JPY on 4H time frame\nCurrent price: 128.20\nBulls\xe2\x86\x97\xef\xb8\x8f Power 66%\nBears\xe2\x86\x98\xef\xb8\x8f Power 25%\n#GBPJPY #forexmarket\xe2\x80\xa6 https://t.co/R5W1zN0FjS'","profit"
"1168539803580846080","b'Do you enjoy a bit of a flutter on the races or football.\n\nWe give out free football and horse racing tips every da\xe2\x80\xa6 https://t.co/gGxLqiyWsm'","profit"
"1168539632881012737","b'\xe2\xac\x86\xef\xb8\x8f Buy AUD/USD on 4H time frame\nCurrent price: 0.6728\nBulls\xe2\x86\x97\xef\xb8\x8f Power 79%\nBears\xe2\x86\x98\xef\xb8\x8f Power 0%\n#AUDUSD #trading #copy\xe2\x80\xa6 https://t.co/TrwKYWbOfk'","profit"
"1168539489691680768","b'Do you enjoy a bit of a flutter on the races or football.\n\nWe give out free football and horse racing tips every da\xe2\x80\xa6 https://t.co/eHghg6e1UP'","profit"
"1168539376856510464","b'Do you enjoy a bit of a flutter on the races or football.\n\nWe give out free football and horse racing tips every da\xe2\x80\xa6 https://t.co/epfmTfqmXZ'","profit"
"1168539316307599361","b'TOP TRADING !!!!!\n\n3Commas Trading Platform! 25% DISCOUNT...pay with Crypto!\n\n https://t.co/BvyaKC6x16 \n\n#Profit wi\xe2\x80\xa6 https://t.co/GEaJuxN1LD'","profit"
"1168539286649606145","b'Do you enjoy a bit of a flutter on the races or football.\n\nWe give out free football and horse racing tips every da\xe2\x80\xa6 https://t.co/bqblQd5NAe'","profit"
"1168539221604425728","b'Do you enjoy a bit of a flutter on the races or football.\n\nWe give out free football and horse racing tips every da\xe2\x80\xa6 https://t.co/1INXAWNICH'","profit"
"1168539153019150336","b'Do you enjoy a bit of a flutter on the races or football.\n\nWe give out free football and horse racing tips every da\xe2\x80\xa6 https://t.co/vEQkLifwlC'","profit"
"1168538845438234624","b'Total Tipsters offer Free and Paid Horse Racing Tips\n\nCome and take a look\n\nhttps://t.co/4P1Ju0R00p\n\nT&amp;C\xe2\x80\x99s Apply. 1\xe2\x80\xa6 https://t.co/MYQPbPkpwI'","profit"
"1168538810466164736","b'Total Tipsters offer Free and Paid Horse Racing Tips\n\nCome and take a look\n\nhttps://t.co/3uxrqkNZku\n\nT&amp;C\xe2\x80\x99s Apply. 1\xe2\x80\xa6 https://t.co/ZTbfMPPs7W'","profit"
"1168538707173003265","b'Total Tipsters offer Free and Paid Horse Racing Tips\n\nCome and take a look\n\nhttps://t.co/tv2qqdmniw\n\nT&amp;C\xe2\x80\x99s Apply. 1\xe2\x80\xa6 https://t.co/KabsEwWjEb'","profit"
"1168538564428279808","b'Total Tipsters offer Free and Paid Horse Racing Tips\n\nCome and take a look\n\nhttps://t.co/mjq78PqacK\n\nT&amp;C\xe2\x80\x99s Apply. 1\xe2\x80\xa6 https://t.co/KwBAw30PE7'","profit"
"1168538312589619208","b'Total Tipsters offer Free and Paid Horse Racing Tips\n\nCome and take a look\n\nhttps://t.co/ZsQAD4lwlR\n\nT&amp;C\xe2\x80\x99s Apply. 1\xe2\x80\xa6 https://t.co/W45W5cEhCQ'","profit"
"1168538270264975360","b'Total Tipsters offer Free and Paid Horse Racing Tips\n\nCome and take a look\n\nhttps://t.co/fUXXWoTVNO\n\nT&amp;C\xe2\x80\x99s Apply. 1\xe2\x80\xa6 https://t.co/3hZ6txspky'","profit"
